species,left_wing,right_wing,left_foretibia,right_foretibia,left_hindtibia,right_hindtibia,thorax,avg_left/right_wing,avg_left/right_foretibia,,ratiowing,ratioforetibia,ratiothorax,,ratiowing,ratioforetibia,ratiothorax,,ratiowing,ratioforetibia,ratiothorax
Dana,1.537,1.546,0.526,0.545,0.74,0.738,0.976,1.5415,0.5355,,,,,,,,,,,,
Dana,1.455,1.442,0.496,0.496,0.702,0.687,0.908,1.4485,0.496,,,,,,,,,,,,
Dana,1.347,1.344,0.473,0.46,0.675,0.657,0.817,1.3455,0.4665,,,,,,,,,,,,
Dana,1.543,1.537,0.536,0.538,0.753,0.766,0.983,1.54,0.537,,,,,,,,,,,,
Dana,1.461,1.5,0.498,0.522,0.723,0.717,0.889,1.4805,0.51,,,,,,,,,,,,
Dana,1.487,1.498,0.507,0.525,0.731,0.731,0.952,1.4925,0.516,,,,,,,,,,,,
Dana,1.546,1.514,0.531,0.521,0.775,0.734,0.968,1.53,0.526,,,,,,,,,,,,
Dana,1.502,1.472,0.533,0.527,0.732,0.749,0.939,1.487,0.53,,,,,,,,,,,,
Dana,1.388,1.4,0.486,0.505,0.663,0.688,0.861,1.394,0.4955,,,,,,,,,,,,
Dana,1.473,1.455,0.512,0.533,0.705,0.708,0.978,1.464,0.5225,,,,,,,,,,,,
Dana,1.496,1.524,0.511,0.531,0.755,0.748,0.958,1.51,0.521,,,,,,,,,,,,
Dana,1.456,1.457,0.526,0.507,0.71,0.705,0.919,1.4565,0.5165,,,,,,,,,,,,
Dana,1.52,1.523,0.557,0.532,0.762,0.765,0.998,1.5215,0.5445,,,,,,,,,,,,
Dana,1.51,1.512,0.534,0.54,0.727,0.72,0.98,1.511,0.537,,,,,,,,,,,,
Dana,1.48,1.491,0.54,0.543,0.733,0.724,0.948,1.4855,0.5415,,,,,,,,,,,,
Dana,1.485,1.495,0.538,0.545,0.735,0.733,0.895,1.49,0.5415,,,,,,,,,,,,
Dana,1.546,1.505,0.54,0.538,0.753,0.735,0.952,1.5255,0.539,,,,,,,,,,,,
Dana,1.445,1.458,0.531,0.505,0.696,0.708,0.901,1.4515,0.518,,,,,,,,,,,,
Dana,1.464,1.46,0.518,0.521,0.709,0.69,0.917,1.462,0.5195,,,,,,,,,,,,
Dana,1.482,1.477,0.508,0.529,0.746,0.737,0.951,1.4795,0.5185,,,,,,,,,,,,
Dana,1.49,1.462,0.487,0.491,0.696,0.693,0.888,1.476,0.489,,,,,,,,,,,,
Dana,1.453,1.448,0.508,0.524,0.713,0.699,0.936,1.4505,0.516,,,,,,,,,,,,
Dana,1.461,1.442,0.499,0.525,0.694,0.71,0.867,1.4515,0.512,,,,,,,,,,,,
Dana,1.508,1.494,0.512,0.536,0.728,0.685,0.96,1.501,0.524,,,,,,,,,,,,
Dana,1.44,1.433,0.486,0.506,0.678,0.691,0.95,1.4365,0.496,,,,,,,,,,,,
Dana,1.517,1.519,0.498,0.517,0.707,0.725,0.916,1.518,0.5075,,,,,,,,,,,,
Dana,1.507,1.49,0.527,0.515,0.708,0.699,0.904,1.4985,0.521,,,,,,,,,,,,
Dana,1.445,1.421,0.493,0.518,0.692,0.687,0.921,1.433,0.5055,,,,,,,,,,,,
Dana,1.416,1.509,0.506,0.551,0.688,0.769,0.991,1.4625,0.5285,,,,,,,,,,,,
Dana,1.484,1.471,0.532,0.529,0.749,0.705,0.909,1.4775,0.5305,,,,,,,,,,,,
Dana,1.466,1.48,0.518,0.532,0.73,0.738,0.928,1.473,0.525,,,,,,,,,,,,
Dana,1.421,1.478,0.503,0.499,0.688,0.736,0.946,1.4495,0.501,,,,,,,,,,,,
Dana,1.512,1.501,0.54,0.537,0.746,0.723,0.946,1.5065,0.5385,,,,,,,,,,,,
